observation_id,batch_id,source_name,source_job_id,revision,observed_at,posted_at,ingested_at,corrects_observation_id,correction_reason,company,title,location,cycle,category,posting_status,sponsorship_status,graduation_eligible,requirements,source_url,canonical_key_hint
obs_46aa16e076179acb,5,greenhouse,greenhouse-R13,1,2026-08-07 09:00:00+00,2026-07-22 00:00:00+00,2026-08-07 09:05:00+00,,,Northwind Systems,Platform Engineer Intern,"New York, NY",Fall 2026,SWE,OPEN,SUPPORTED,true,golang|kubernetes|terraform,https://example.invalid/greenhouse/R13,northwindsystems::platformengineerintern::fall2026
obs_3a58c79a1555e67a,5,lever,lever-R03,1,2026-08-07 10:00:00+00,2026-07-25 00:00:00+00,2026-08-07 10:05:00+00,,,Acme Robotics,Robotics Software Intern,"Pittsburgh, PA",Summer 2027,SWE,CLOSED,UNKNOWN,true,c++|ros|linux,https://example.invalid/lever/R03,acmerobotics::roboticssoftwareintern::summer2027
obs_57533c658ad97acf,5,lever,lever-R04,1,2026-08-07 10:00:00+00,2026-07-26 00:00:00+00,2026-08-07 10:05:00+00,,,Acme Robotics,Embedded Systems Intern,"Pittsburgh, PA",Summer 2027,SWE,OPEN,UNKNOWN,false,c|embedded|rtos,https://example.invalid/lever/R04,acmerobotics::embeddedsystemsintern::summer2027
obs_d04fcd53aa9a6cf5,5,lever,lever-R09,1,2026-08-07 10:00:00+00,2026-08-01 00:00:00+00,2026-08-07 10:05:00+00,,,Delta Grid,Backend Engineer Intern,"Austin, TX",Summer 2027,SWE,OPEN,SUPPORTED,true,java|kubernetes|sql,https://example.invalid/lever/R09,deltagrid::backendengineerintern::summer2027
obs_bba15ac56b52463b,5,ashby,ashby-R06,1,2026-08-07 11:00:00+00,2026-07-29 00:00:00+00,2026-08-07 11:05:00+00,,,Bluewater Capital,Software Engineer Intern,"Chicago, IL",Summer 2027,SWE,OPEN,SUPPORTED,true,python|sql|golang,https://example.invalid/ashby/R06,bluewatercapital::softwareengineerintern::summer2027
obs_da2ca2a5663ce49e,5,ashby,ashby-R11,1,2026-08-07 11:00:00+00,2026-07-24 00:00:00+00,2026-08-07 11:05:00+00,,,Foxglove AI,Research Engineer Intern (PhD),"San Francisco, CA",Summer 2027,ML/AI,OPEN,SUPPORTED,true,python|pytorch|distributed systems|cuda,https://example.invalid/ashby/R11,foxgloveai::researchengineerintern::summer2027
obs_115e35c6aac4018c,5,ashby,ashby-R12,1,2026-08-07 11:00:00+00,2026-07-26 00:00:00+00,2026-08-07 11:05:00+00,,,Granite Trading,Quantitative Developer Intern,"Chicago, IL",Summer 2027,Quant,CLOSED,SUPPORTED,true,c++|python|low latency,https://example.invalid/ashby/R12,granitetrading::quantitativedeveloperintern::summer2027
obs_b59aa7e77453d6ef,5,ashby,ashby-R14,1,2026-08-07 11:00:00+00,2026-08-02 00:00:00+00,2026-08-07 11:05:00+00,,,Foxglove AI,Applied Scientist Intern,"San Francisco, CA",Summer 2027,ML/AI,OPEN,SUPPORTED,true,python|pytorch|machine learning|statistics,https://example.invalid/ashby/R14,foxgloveai::appliedscientistintern::summer2027
obs_08fedac9f94ef71a,5,linkedin,linkedin-R01,1,2026-08-07 15:00:00+00,2026-07-28 00:00:00+00,2026-08-07 15:05:00+00,,,Northwind Systems,Software Engineer Intern,New York City,Summer 2027,SWE,OPEN,SUPPORTED,true,python|sql|distributed systems,https://example.invalid/linkedin/R01,northwindsystems::softwareengineerintern::summer2027
obs_a1d2c835ee3a54ed,5,linkedin,linkedin-R03,1,2026-08-07 15:00:00+00,2026-07-25 00:00:00+00,2026-08-07 15:05:00+00,,,Acme Robotics,Robotics Software Intern,"Pittsburgh, PA",Summer 2027,SWE,CLOSED,UNKNOWN,true,c++|ros|linux,https://example.invalid/linkedin/R03,acmerobotics::roboticssoftwareintern::summer2027
obs_6488c1936376bf29,5,linkedin,linkedin-R08,1,2026-08-07 15:00:00+00,2026-07-31 00:00:00+00,2026-08-07 15:05:00+00,,,Cedar Analytics,Machine Learning Intern,"New York, NY",Summer 2027,ML/AI,OPEN,UNKNOWN,true,python|pytorch|sql,https://example.invalid/linkedin/R08,cedaranalytics::machinelearningintern::summer2027
obs_c7faacbc7cd9eaac,5,linkedin,linkedin-R10,1,2026-08-07 15:00:00+00,2026-08-03 16:00:00+00,2026-08-07 15:05:00+00,,,Everline Health,Data Science Intern,"Boston, MA",Summer 2027,ML/AI,OPEN,UNKNOWN,true,python|statistics|sql,https://example.invalid/linkedin/R10,everlinehealth::datascienceintern::summer2027
obs_dad6e9bc24ff6051,6,community,community-R05,1,2026-08-08 06:00:00+00,2026-07-20 00:00:00+00,2026-08-08 06:05:00+00,,,Bluewater Capital,Quantitative Research Intern,"Chicago, IL",Summer 2027,Quant,CLOSED,UNSUPPORTED,true,,https://example.invalid/community/R05,bluewatercapital::quantitativeresearchintern::summer2027
obs_26b0936989b999e5,6,community,community-R08,1,2026-08-08 06:00:00+00,2026-07-31 00:00:00+00,2026-08-08 06:05:00+00,,,Cedar Analytics,Machine Learning Intern,"New York, NY",Summer 2027,ML/AI,OPEN,UNKNOWN,true,,https://example.invalid/community/R08,cedaranalytics::machinelearningintern::summer2027
obs_951edc3b71b4e437,6,community,community-R10,1,2026-08-08 06:00:00+00,2026-07-30 00:00:00+00,2026-08-08 06:05:00+00,,,Everline Health,Data Science Intern,"Boston, MA",Summer 2027,ML/AI,OPEN,UNKNOWN,true,,https://example.invalid/community/R10,everlinehealth::datascienceintern::summer2027
obs_1d146d3ac97b35aa,6,community,community-R12,1,2026-08-08 06:00:00+00,2026-07-26 00:00:00+00,2026-08-08 06:05:00+00,,,Granite Trading,Quantitative Developer Intern,"Chicago, IL",Summer 2027,Quant,CLOSED,SUPPORTED,true,,https://example.invalid/community/R12,granitetrading::quantitativedeveloperintern::summer2027
obs_2adf640105b0e4d2,6,intern-list,intern-list-R07,1,2026-08-08 07:00:00+00,2026-07-27 00:00:00+00,2026-08-08 07:05:00+00,,,Cedar Analytics,Data Engineer Intern,Remote - US,Summer 2027,SWE,OPEN,SUPPORTED,true,,https://example.invalid/intern-list/R07,cedaranalytics::dataengineerintern::summer2027
obs_a6bb0591b76ff1e0,6,intern-list,intern-list-R09,1,2026-08-08 07:00:00+00,2026-08-01 00:00:00+00,2026-08-08 07:05:00+00,,,Delta Grid,Backend Engineer Intern,"Austin, TX",Summer 2027,SWE,OPEN,SUPPORTED,true,,https://example.invalid/intern-list/R09,deltagrid::backendengineerintern::summer2027
obs_ba56eaee02860623,6,intern-list,intern-list-R11,1,2026-08-08 07:00:00+00,2026-07-24 00:00:00+00,2026-08-08 07:05:00+00,,,Foxglove AI,Research Engineer Intern (PhD),"San Francisco, CA",Summer 2027,ML/AI,OPEN,SUPPORTED,true,,https://example.invalid/intern-list/R11,foxgloveai::researchengineerintern::summer2027
obs_c03e00ade118d699,6,greenhouse,greenhouse-R01,1,2026-08-08 09:00:00+00,2026-07-28 00:00:00+00,2026-08-08 09:05:00+00,,,Northwind Systems,Software Engineer Intern,"New York, NY",Summer 2027,SWE,OPEN,SUPPORTED,true,python|sql|distributed systems,https://example.invalid/greenhouse/R01,northwindsystems::softwareengineerintern::summer2027
obs_987555bc85b38240,6,greenhouse,greenhouse-R02,1,2026-08-08 09:00:00+00,2026-07-30 00:00:00+00,2026-08-08 09:05:00+00,,,Northwind Systems,Machine Learning Intern,"New York, NY",Summer 2027,ML/AI,OPEN,SUPPORTED,true,python|pytorch|machine learning,https://example.invalid/greenhouse/R02,northwindsystems::machinelearningintern::summer2027
obs_9ad1e2d76ab5ff12,6,greenhouse,greenhouse-R07,1,2026-08-08 09:00:00+00,2026-07-27 00:00:00+00,2026-08-08 09:05:00+00,,,Cedar Analytics,Data Engineer Intern,Remote - US,Summer 2027,SWE,OPEN,SUPPORTED,true,sql|python|airflow|dbt,https://example.invalid/greenhouse/R07,cedaranalytics::dataengineerintern::summer2027
obs_f3613b37c1f19ffd,6,greenhouse,greenhouse-R13,1,2026-08-08 09:00:00+00,2026-07-22 00:00:00+00,2026-08-08 09:05:00+00,,,Northwind Systems,Platform Engineer Intern,"New York, NY",Fall 2026,SWE,OPEN,SUPPORTED,true,golang|kubernetes|terraform,https://example.invalid/greenhouse/R13,northwindsystems::platformengineerintern::fall2026
obs_2893778ad22eb0a1,6,lever,lever-R03,1,2026-08-08 10:00:00+00,2026-07-25 00:00:00+00,2026-08-08 10:05:00+00,,,Acme Robotics,Robotics Software Intern,"Pittsburgh, PA",Summer 2027,SWE,CLOSED,UNKNOWN,true,c++|ros|linux,https://example.invalid/lever/R03,acmerobotics::roboticssoftwareintern::summer2027
obs_6d7f2c006e7a013f,6,lever,lever-R04,1,2026-08-08 10:00:00+00,2026-07-26 00:00:00+00,2026-08-08 10:05:00+00,,,Acme Robotics,Embedded Systems Intern,"Pittsburgh, PA",Summer 2027,SWE,OPEN,UNKNOWN,false,c|embedded|rtos,https://example.invalid/lever/R04,acmerobotics::embeddedsystemsintern::summer2027
obs_36d25e2421ab05a1,6,lever,lever-R09,1,2026-08-08 10:00:00+00,2026-08-01 00:00:00+00,2026-08-08 10:05:00+00,,,Delta Grid,Backend Engineer Intern,"Austin, TX",Summer 2027,SWE,OPEN,SUPPORTED,true,java|kubernetes|sql,https://example.invalid/lever/R09,deltagrid::backendengineerintern::summer2027
obs_257042000eefa200,6,ashby,ashby-R06,1,2026-08-08 11:00:00+00,2026-07-29 00:00:00+00,2026-08-08 11:05:00+00,,,Bluewater Capital,Software Engineer Intern,"Chicago, IL",Summer 2027,SWE,OPEN,SUPPORTED,true,python|sql|golang,https://example.invalid/ashby/R06,bluewatercapital::softwareengineerintern::summer2027
obs_b420d2d4e452fc7b,6,ashby,ashby-R11,1,2026-08-08 11:00:00+00,2026-07-24 00:00:00+00,2026-08-08 11:05:00+00,,,Foxglove AI,Research Engineer Intern (PhD),"San Francisco, CA",Summer 2027,ML/AI,OPEN,SUPPORTED,true,python|pytorch|distributed systems|cuda,https://example.invalid/ashby/R11,foxgloveai::researchengineerintern::summer2027
obs_6ab5eace9a0ad8a4,6,ashby,ashby-R12,1,2026-08-08 11:00:00+00,2026-07-26 00:00:00+00,2026-08-08 11:05:00+00,,,Granite Trading,Quantitative Developer Intern,"Chicago, IL",Summer 2027,Quant,CLOSED,SUPPORTED,true,c++|python|low latency,https://example.invalid/ashby/R12,granitetrading::quantitativedeveloperintern::summer2027
obs_15cd899d266dcae3,6,ashby,ashby-R14,1,2026-08-08 11:00:00+00,2026-08-02 00:00:00+00,2026-08-08 11:05:00+00,,,Foxglove AI,Applied Scientist Intern,"San Francisco, CA",Summer 2027,ML/AI,OPEN,SUPPORTED,true,python|pytorch|machine learning|statistics,https://example.invalid/ashby/R14,foxgloveai::appliedscientistintern::summer2027
obs_319a0fbafa09ad5e,6,linkedin,linkedin-R02,1,2026-08-08 15:00:00+00,2026-07-30 00:00:00+00,2026-08-08 15:05:00+00,,,Northwind Systems,Machine Learning Intern,"New York, NY",Summer 2027,ML/AI,OPEN,SUPPORTED,true,python|pytorch|machine learning,https://example.invalid/linkedin/R02,northwindsystems::machinelearningintern::summer2027
obs_bb710459c347e750,6,linkedin,linkedin-R06,1,2026-08-08 15:00:00+00,2026-07-29 00:00:00+00,2026-08-08 15:05:00+00,,,Bluewater Capital,Software Engineer Intern,"Chicago, IL",Summer 2027,SWE,OPEN,SUPPORTED,true,python|sql|golang,https://example.invalid/linkedin/R06,bluewatercapital::softwareengineerintern::summer2027
obs_4f4eb82b51d4fc12,6,linkedin,linkedin-R11,1,2026-08-08 15:00:00+00,2026-07-24 00:00:00+00,2026-08-08 15:05:00+00,,,Foxglove AI,Research Engineer Intern (PhD),"San Francisco, CA",Summer 2027,ML/AI,OPEN,SUPPORTED,true,python|pytorch|distributed systems|cuda,https://example.invalid/linkedin/R11,foxgloveai::researchengineerintern::summer2027
obs_c2fe4aca44b09d2e,7,community,community-R05,2,2026-08-04 06:00:00+00,2026-07-20 00:00:00+00,2026-08-09 09:00:00+00,obs_c701253edfcf9eff,day-2 list marked this closed; parser read the row above it,Bluewater Capital,Quantitative Research Intern,"Chicago, IL",Summer 2027,Quant,CLOSED,UNSUPPORTED,true,,https://example.invalid/community/R05,bluewatercapital::quantitativeresearchintern::summer2027
obs_44742b7f8b9abd44,7,community,community-R08,1,2026-08-04 06:00:00+00,2026-07-31 00:00:00+00,2026-08-09 09:00:00+00,,dropped by the day-2 parse after a malformed table row,Cedar Analytics,Machine Learning Intern,"New York, NY",Summer 2027,ML/AI,OPEN,UNKNOWN,true,,https://example.invalid/community/R08,cedaranalytics::machinelearningintern::summer2027
obs_c101c62fe2b872ac,7,community,community-R12,1,2026-08-04 06:00:00+00,2026-07-26 00:00:00+00,2026-08-09 09:00:00+00,,dropped by the day-2 parse after a malformed table row,Granite Trading,Quantitative Developer Intern,"Chicago, IL",Summer 2027,Quant,OPEN,SUPPORTED,true,,https://example.invalid/community/R12,granitetrading::quantitativedeveloperintern::summer2027
